NOMBRE PRIMARIO,TIPO,JERARQUIA,NOMBRE ESPECIFICO,PRIORIDAD,CONCURRENCIA,RESPONSABLE,LATITUD,LONGITUD,DISTRITO
PLAZA LAS GLICINAS,Plazas,Secundario,,C,,Delegación,,,CARRODILLA
PLAZA LAS PARRAS,Plazas,Secundario,,C,,Delegación,,,MAYOR DRUMOND
PLAZA LAS ROSAS,Plazas,Primario,,A,,Higiene Urbana,,,CIUDAD
PLAZA LAS TINAJAS,P.E.S.,Primario,,B,,Higiene Urbana,-33.02844411,-68.89105458,VISTALBA
PLAZA LAS TINAJAS,Plazas,Primario,,B,,Higiene Urbana,-33.02844411,-68.89105458,VISTALBA
PLAZA LEVY,Plazas,Terciario,,C,,Delegación,,,CHACRAS DE CORIA
PLAZA LÍMITE CON GODOY CRUZ,Plazas,Terciario,,C,,Delegación,,,CARRODILLA
PLAZA LOS ALERCES,Plazas,Terciario,,C,,Delegación,-32.96569675,-68.83309014,CARRODILLA
PLAZA LOS AROMOS,Plazas,Terciario,,C,,Delegación,-32.97472279,-68.8195057,CHACRAS DE CORIA
PLAZA LOS BOMBEROS,Plazas,Primario,,E,,Higiene Urbana,-33.0359154,-68.87581982,CIUDAD
PLAZA LOS CEREZOS,Plazas,Terciario,,C,,Delegación,,,LA PUNTILLA
PLAZA LOS ESCRITORES,Plazas,Secundario,,B,,Higiene Urbana,-33.03923805,-68.8860843,CIUDAD
PLAZA LOS NIÑOS,Plazas,Primario,,E,,Higiene Urbana,-33.04412243,-68.87459851,CIUDAD
PLAZA LOS OLIVOS,Plazas,Primario,,B,,Delegación,-32.96220341,-68.8416702,CARRODILLA
PLAZA LOYOLA,Plazas,Primario,,B,,Delegación,-32.96109143,-68.84427361,CARRODILLA
PLAZA MIRAFLORES,Plazas,Secundario,,C,,Delegación,,,
PLAZA MOSCONI,Plazas,Primario,,A,,Higiene Urbana,-33.03432056,-68.88465897,CIUDAD
PLAZA NOGAL I,Plazas,Secundario,,C,,Delegación,-32.96587841,-68.83623526,CARRODILLA
PLAZA NOGAL III,Plazas,Secundario,,C,,Delegación,,,CARRODILLA
PLAZA POTRERILLOS,Plazas,Primario,,E,,Delegación,,,POTRERILLOS
PLAZA UGARTECHE,Plazas,Secundario,,E,,Higiene Urbana,,,UGARTECHE
PLAZOLETA AYMONT,Plazoleta,Secundario,,C,,Delegación,-32.95884832,-68.85267568,CARRODILLA
PLAZOLETA CIOPPO,Plazoleta,Primario,,B,,Higiene Urbana,-33.02221513,-68.88306776,
PLAZOLETA ISAAC CORREA (Ricardo Videla y Francia),Plazoleta,Terciario,,C,,Delegación,-32.95889742,-68.85420246,LA PUNTILLA
PUERTO DESEADO,Paseo,Secundario,,B,,Higiene Urbana,-33.02420355,-68.88203276,CIUDAD
PUERTO DESEADO (CHILE-JUJUY),Ciclovía,Secundario,,B,,Higiene Urbana y Obras,-33.02418046,-68.88214885,CIUDAD
QUINTANA (SAN MARTIN-ACCESO SUR),Ciclovía,Primario,,B,,Higiene Urbana y Obras,-33.05305731,-68.87647262,PERDRIEL
QUITO,Plazas,Secundario,,C,,Delegación,,,LA PUNTILLA
RINCON DE VISTALBA,Plazas,Secundario,,C,,Delegación,-33.04056104,-68.92472697,VISTALBA
RIÑON EN CALLE JJ PASO,Plazas,Terciario,,A,,Delegación,,,LA PUNTILLA
ROTONDA BOEDO ESTE,Rotonda,Primario,,A,,Obras y EP,,,CARRODILLA
ROTONDA BOEDO OESTE,Rotonda,Primario,,A,,Obras y EP,,,CARRODILLA
ROTONDA DE LA VIRGEN,Rotonda,Primario,,E,Alta,Obras y EP,-33.03432544,-68.89809968,CIUDAD
ROTONDA POTRERILLOS,Rotonda,Primario,,B,Baja,Obras y EP,-32.96080507,-69.1974747,POTRERILLOS
ROTONDA UGARTECHE,Rotonda,Primario,,C,,Obras y EP,-32.96156948,-68.86362851,UGARTECHE
RUTA 15 (PTE RIO-FUNES),Ciclovía,Secundario,,B,,Higiene Urbana y Obras,-33.09980261,-68.88733258,PERDRIEL
RUTA 15 (RUTA 16-NIDO UGARTECHE),Ciclovía,Terciario,,C,,Higiene Urbana y Obras,-33.21272494,-68.89020779,UGARTECHE
RUTA 15 Y OLAVARRÍA,P.E.S.,Secundario,,C,,Delegación,-33.0674371,-68.88363178,PERDRIEL
RUTA 15 Y QUINTANA,Rotonda,Secundario,,A,,Obras y EP,,,PERDRIEL
RUTA 15 Y SALGUERO (THAMES),P.E.S.,Terciario,,C,,Delegación,-33.07939491,-68.88594186,PERDRIEL
RUTA 15 Y VILLANUEVA,P.E.S.,Terciario,,C,,Delegación,-33.05772679,-68.88249457,PERDRIEL
RUTA 15 Y ZARANDON,P.E.S.,Terciario,,C,,Obras y EP,-33.12033444,-68.88926314,AGRELO
RUTA 16 Y RUTA 61 (Pez Carrizal),P.E.S.,Terciario,,A,,Delegación,-33.32172512,-68.75956874,EL CARRIZAL
RUTA 82 (Control Policial),P.E.S.,Terciario,,A,,Delegación,-33.03841643,-68.99645094,LAS COMPUERTAS
RUTA 82 (ESC. GASCOGNE-A.CONDARCO),Ciclovía,Secundario,,B,,Higiene Urbana y Obras,-33.03833702,-69.01065811,
RUTA 82 Y CARACOLES,Rotonda,Primario,,A,,Obras y EP,,,CHACRAS DE CORIA
RUTA PANAMERICANA E IRIGOYEN,P.E.S.,Secundario,,E,,Obras y EP,-32.95955795,-68.86291645,LA PUNTILLA
SAENZ PEÑA (SAN MARTIN-G.ORTIZ),Ciclovía,Primario,,E,,Higiene Urbana y Obras,-33.03246887,-68.90313625,VISTALBA
SAN MARTIN (20 DE SEPTIEMBRE-RIO MENDOZA),Ciclovía,Secundario,,E,,Higiene Urbana y Obras,-33.04334109,-68.88129576,CIUDAD
SAN MARTIN (ALMTE BROWN - BELGRANO),Ciclovía,Secundario,,E,,Higiene Urbana y Obras,-33.02237605,-68.87349353,
SAN MARTIN (PASO-BESARES),Ciclovía,Secundario,,E,,Higiene Urbana y Obras,-32.97474838,-68.85615948,CARRODILLA
SAN MARTÍN Y BESARES,P.E.S.,Primario,,E,,Delegación,-32.98202624,-68.86019218,CARRODILLA
SAN MARTÍN Y PASO,P.E.S.,Primario,,E,,Delegación,-32.96608957,-68.85444749,CARRODILLA
SECA,Plazas,Primario,,A,,Delegación,,,CIUDAD
SOLAR MALVINENSE,Plazas,Terciario,,C,,Delegación,,,
SOLARES DE GABRIELLI ,Plazas,Secundario,,B,,Delegación,-32.9959319,-68.86396948,MAYOR DRUMOND
TRIANGULO LUJÁN (GC),Plazas,Terciario,,C,,Delegación,,,
VALLE DE CHACRAS,Plazas,Terciario,,C,,Delegación,-32.9910469,-68.86510296,CHACRAS DE CORIA
VIAMONTE (CHILE-LARREA),Ciclovía,Primario,,E,,Higiene Urbana y Obras,-33.00331856,-68.88744311,
VIAMONTE Y ALMIRANTE BROWN,Rotonda,Primario,,A,,Obras y EP,-32.96560544,-68.85418165,CHACRAS DE CORIA
VIAMONTE Y LARREA,Rotonda,Primario,,B,,Obras y EP,,,CHACRAS DE CORIA
VIAS DE CHACRAS (ITALIA-ESTACION FFCC),Ciclovía,Secundario,,C,,Higiene Urbana y Obras,-32.98308636,-68.88316065,CHACRAS DE CORIA
"VIRGEN (Callejón de la Virgen, Vistalba)",Paseo,Terciario,,C,,Delegación,-33.03335211,-68.93284674,VISTALBA
VIRGEN DE CARRODILLA,Paseo,Primario,,E,,Higiene Urbana,-32.96576841,-68.853402,CARRODILLA
VIRGEN DE LOURDES,Plazas,Terciario,,C,,Delegación,,,
VISTA AL ALBA,Plazas,Primario,,A,,Higiene Urbana,-33.03192038,-68.90764205,VISTALBA
ZAPIOLA Y ALSINA,Paseo,Terciario,,C,,Higiene Urbana,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
