Tipo de espacio público,Nombre de espacio público,Estado actual de conservación,Tarea realizada,Área Responsable,Fecha
Paseo y Espacios Públicos,PLAYÓN EL CARRIZAL,Bueno,Limpieza,Higiene Urbana,12/01/2026
Paseo y Espacios Públicos,PASEO MALBEC,Bueno,Limpieza,Higiene Urbana,12/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,12/01/2026
Ciclovía,GUARDIA VIEJA (ALMTE BROWN-SAENZ PEÑA),Bueno,Desmalezado,Higiene Urbana,09/01/2026
Plazas,B° ALTO DRUMMOND,Bueno,Desmalezado,Higiene Urbana,09/01/2026
Plazas,VISTA AL ALBA,Bueno,Desmalezado,Higiene Urbana,09/01/2026
Rotonda,ROTONDA DE LA VIRGEN,Bueno,Desmalezado,Higiene Urbana,09/01/2026
Plazas,PASEO MOSCONI,Bueno,Desmalezado,Higiene Urbana,09/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,09/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,08/01/2026
Plazas,PLAZA VILLA DEL RIO (CEC),Bueno,Desmalezado,Higiene Urbana,07/01/2026
Plazas,PLAZA DE LOS ESCRITORES,Bueno,Desmalezado,Higiene Urbana,07/01/2026
Plazas,B° PARQUE DRUMMOND,Bueno,Desmalezado,Higiene Urbana,06/01/2026
Plazas,B° 27 DE ABRIL,Bueno,Desmalezado,Higiene Urbana,06/01/2026
Plazas,B° JARDÍN VISTALBA,Bueno,Desmalezado,Higiene Urbana,06/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,05/01/2026
Plazas,PLAZA LAS TINAJAS,Bueno,Desmalezado,Higiene Urbana,02/01/2026
Paseo y Espacios Públicos,PUERTO DESEADO,Bueno,Limpieza,Higiene Urbana,02/01/2026
Paseo y Espacios Públicos,PASEO GUEVARA,Bueno,Desmalezado,Higiene Urbana,02/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,02/01/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,02/01/2026
Rotonda,CORREDOR DEL OESTE,Bueno,Limpieza,Obras y EP,13/01/2026
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,13/01/2026
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,13/01/2026
Rotonda,SAN MARTÍN Y PASO,Bueno,Limpieza,Obras y EP,13/01/2026
P.E.S.,SAN MARTÍN Y PASO,Bueno,Limpieza,Obras y EP,13/01/2026
P.E.S.,MATHEU Y CUBILLOS,Bueno,Limpieza,Obras y EP,13/01/2026
Rotonda,MATHEU Y CUBILLOS,Bueno,Limpieza,Obras y EP,13/01/2026
Rotonda,BESARES Y CUBILLOS,Bueno,Limpieza,Obras y EP,13/01/2026
Rotonda,BESARES Y SAN MARTÍN,Bueno,Limpieza,Obras y EP,13/01/2026
P.E.S.,BESARES Y SAN MARTÍN,Bueno,Limpieza,Obras y EP,13/01/2026
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,13/01/2026
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,13/01/2026
Rotonda,BOEDO OESTE,Bueno,Limpieza,Obras y EP,13/01/2026
Rotonda,BOEDO ESTE,Bueno,Limpieza,Obras y EP,13/01/2026
Plazas,PLAZA LAS ROSAS,Bueno,Desmalezado,Higiene Urbana,02/01/2026
Plazas,PLAZA DE LOS BOMBEROS,Bueno,Desmalezado,Higiene Urbana,02/01/2026
Paseo y Espacios Públicos,PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,02/01/2026
Paseo y Espacios Públicos,PARQUE FERRI,Bueno,Desmalezado,Higiene Urbana,30/12/2025
Paseo y Espacios Públicos,PASEO GUEVARA,Bueno,Desmalezado,Higiene Urbana,29/12/2025
Paseo y Espacios Públicos,PASEO GUEVARA,Bueno,Limpieza,Higiene Urbana,29/12/2025
Paseo y Espacios Públicos,PARQUE URBANO P.U.L.,Bueno,Desmalezado,Higiene Urbana,27/12/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,26/12/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,23/12/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,22/12/2025
Plazas,PLAZA CENTRAL DEPARTAMENTAL,Bueno,Desmalezado,Higiene Urbana,22/12/2025
Plazas,LOS AROMOS,Bueno,Desmalezado,Higiene Urbana,22/12/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,22/12/2025
Plazas,PLAZA LAS ROSAS,Bueno,Desmalezado,Higiene Urbana,17/12/2025
Plazas,PLAZA DE LOS BOMBEROS,Bueno,Desmalezado,Higiene Urbana,17/12/2025
Paseo y Espacios Públicos,PUL,Bueno,Desmalezado,Higiene Urbana,16/12/2025
Plazas,SOLARES DE GABRIELLI ,Bueno,Desmalezado,Higiene Urbana,16/12/2025
Plazas,HUENTOTA,Bueno,Desmalezado,Higiene Urbana,16/12/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,16/12/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,15/12/2025
Rotonda,VIAMONTE Y ALMIRANTE BROWN,Bueno,Limpieza,Obras y EP,11/12/2025
Rotonda,ARAOZ OESTE,Bueno,Limpieza,Obras y EP,11/12/2025
Rotonda,AZCUENAGA Y ACCESO SUR,Bueno,Limpieza,Obras y EP,11/12/2025
Rotonda,PARQUE URBANO P.U.L,Bueno,Limpieza,Obras y EP,10/12/2025
Rotonda,BALCARCE,Bueno,Limpieza,Obras y EP,10/12/2025
Rotonda,PUL,Bueno,Limpieza,Obras y EP,10/12/2025
P.E.S.,CICLOVÍA Y CANAL SECO VIAMONTE (Besares al Norte),Bueno,Limpieza,Obras y EP,09/12/2025
Paseo y Espacios Públicos,PISTA DE MANEJO,Bueno,Desmalezado,Higiene Urbana,04/12/2025
Plazas,PLAZA LAS PARRAS,Bueno,Desmalezado,Higiene Urbana,03/12/2025
Plazas,B° CEFERINO NAMUNCURA,Bueno,Desmalezado,Higiene Urbana,02/12/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,01/12/2025
Paseo y Espacios Públicos,LUJAN PLAYA (BAJADA AL RIO),Bueno,Desmalezado,Higiene Urbana,01/12/2025
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,01/12/2025
Paseo y Espacios Públicos,PUL,Bueno,Desmalezado,Higiene Urbana,28/11/2025
Plazas,PLAZOLETA CIOPPO,Bueno,Desmalezado,Higiene Urbana,28/11/2025
