NOMBRE,TIPO,CATEGORIA,ÁREA RESPONSABLE,LATITUD,LONGITUD,DISTRITO
PASO Y UGARTE,Rotonda,A,Obras y EP,-32.96156948,-68.86362851,LA PUNTILLA
PERILAGO POTRERILLOS,Ciclovía,C,Higiene Urbana y Obras,-32.97393599,-69.18330756,POTRERILLOS
PINCOLINI,Rotonda,B,Obras y EP,-33.03551948,-68.91124485,VISTALBA
PISTA DE MANEJO,Rotonda,C,Obras y EP,-33.04502735,-68.8821049,CIUDAD
PLAYÓN DEPORTIVO VERTIENTES,Plazas,A,Delegación,,,VERTIENTES DE PEDEMONTE
PLAYÓN EL CARRIZAL,Plazas,B,Delegación,,,EL CARRIZAL
PLAZA AGUA Y ENERGÍA,Plazas,B,Delegación,-32.96605209,-68.84405432,CARRODILLA
PLAZA B ° TERRAZAS DE CHACRAS,Plazas,C,Delegación,,,
PLAZA B JARDIN FADER,Plazas,C,Higiene Urbana,,,MAYOR DRUMOND
PLAZA B° BHEGUIN,Plazas,B,Delegación,-32.96737689,-68.85170818,CARRODILLA
PLAZA B° BUENA VISTA,Plazas,B,Delegación,-32.96821376,-68.84555026,CARRODILLA
PLAZA B° LOS ALERCES,Plazas,C,Delegación,-32.96569675,-68.83309014,CARRODILLA
PLAZA B° LOS OLIVOS,Plazas,B,Delegación,-32.96220341,-68.8416702,CARRODILLA
PLAZA B° MIRAFLORES,Paseo y Espacios Públicos,C,Delegación,,,
PLAZA B°21 DE JULIO,Plazas,B,Delegación,-32.97640905,-68.85286597,CARRODILLA
PLAZA CENTRAL DEPARTAMENTAL,Plazas,E,Higiene Urbana,-33.03919411,-68.87966601,CIUDAD
PLAZA DE LOS BOMBEROS,Plazas,E,Higiene Urbana,-33.0359154,-68.87581982,CIUDAD
PLAZA DE LOS ESCRITORES,Plazas,B,Higiene Urbana,-33.03923805,-68.8860843,CIUDAD
PLAZA DE LOS NIÑOS,Plazas,E,Higiene Urbana,-33.04412243,-68.87459851,CIUDAD
PLAZA LAS PARRAS,Plazas,C,Delegación,,,MAYOR DRUMOND
PLAZA LAS ROSAS,Plazas,A,Higiene Urbana,,,CIUDAD
PLAZA LAS TINAJAS,P.E.S.,B,Higiene Urbana,-33.02844411,-68.89105458,VISTALBA
PLAZA LOYOLA,Plazas,B,Delegación,-32.96109143,-68.84427361,CARRODILLA
PLAZA MOSCONI,Plazas,A,Higiene Urbana,-33.03432056,-68.88465897,CIUDAD
PLAZA POTRERILLOS,Plazas,E,Delegación,,,POTRERILLOS
PLAZA UGARTECHE,Plazas,E,Higiene Urbana,,,UGARTECHE
PLAZOLETA AYMONT,Plazas,C,Delegación,-32.95884832,-68.85267568,CARRODILLA
PLAZOLETA CIOPPO,Plazas,B,Higiene Urbana,-33.02221513,-68.88306776,MAYOR DRUMOND
PLAZOLETA ISAAC CORREA (Ricardo Videla y Francia),Plazas,C,Delegación,-32.95889742,-68.85420246,LA PUNTILLA
POTRERILLOS,Rotonda,B,Obras y EP,-32.96080507,-69.1974747,POTRERILLOS
PUERTO DESEADO,Paseo y Espacios Públicos,B,Higiene Urbana,-33.02420355,-68.88203276,CIUDAD
PUERTO DESEADO (CHILE-JUJUY),Ciclovía,B,Higiene Urbana y Obras,-33.02418046,-68.88214885,CIUDAD
PUL,Ciclovía,C,Higiene Urbana y Obras,-33.05305731,-68.87647262,
QUINTANA (SAN MARTIN-ACCESO SUR),Ciclovía,B,Higiene Urbana y Obras,-33.05305731,-68.87647262,PERDRIEL
QUITO,Plazas,C,Delegación,,,LA PUNTILLA
RINCON DE VISTALBA,Plazas,C,Delegación,-33.04056104,-68.92472697,VISTALBA
RIÑON EN CALLE JJ PASO,Plazas,A,Delegación,,,LA PUNTILLA
ROTONDA DE LA VIRGEN,Rotonda,E,Obras y EP,-33.03432544,-68.89809968,CIUDAD
RUTA 15 (PTE RIO-FUNES),Ciclovía,B,Higiene Urbana y Obras,-33.09980261,-68.88733258,PERDRIEL
RUTA 15 (RUTA 16-NIDO UGARTECHE),Ciclovía,C,Higiene Urbana y Obras,-33.21272494,-68.89020779,UGARTECHE
